story_name	CTRL	action	param1	param2	param3	param4	comment
		DIALOG	只把何太后吓得花容失色，抱住脑袋蜷缩回了马车里。十六岁的唐姬也吓得把头埋进了刘辩的怀里，大气也不敢喘，唯恐下一刻就会迎来杀身之祸。马车外面的几个宫女更是吓得浑身瑟瑟发抖，早就从骡子身上跌落，闭着眼睛缩成一团。				
		DIALOG	杀人完毕，李傕也不下马，纵马掠过车队，对着护卫兵的头目喝令：“若再有百官来送行，乱刀砍杀便是！”				
		DIALOG	领兵的校尉翻身下马，拱手领命：“诺！”				
		DIALOG	马蹄声大作，李傕引兵远去，直奔东方的虎牢关而去。				
		DIALOG	据闻曹操传檄十七路诸侯，共伐洛阳，李傕领了董卓命令，前去虎牢关辅佐大将华雄镇守要塞。却在这里遇上几个文官偷着给太后和弘农王送行，便拔剑砍杀，毫不留情，视百官为草芥，如同碾死了几只蚂蚁一般。				
		DIALOG	“走吧，别愣着了，小心耽误了行程，咱们也变成这般下场。”				
		DIALOG	看到李傕一行去得远了，手下的兵卒还没有从血腥中回过神来，带队的校尉咳嗽一声，大声的催促部下启程，继续向弘农县城赶路。				
		DIALOG	马蹄声响起，伴随着女人的幽咽，百十人的队伍继续向东南方向的弘农县城进发。				
		DIALOG	“唐姬不要哭了，有我在，不会让人伤害你的。”看到怀里的美人依然瑟瑟发抖，刘辩忍不住抚摸着她的玉背，柔声安慰。				
		DIALOG	话虽然这么说，但刘辩自己都觉得很绝望，自己只是一个年幼的废帝，手里无一兵一卒，又拿什么来保护自己的女人？如果按照历史的发展，自己现在已经是泥菩萨过江自身难保，再下去几个月的时间，董卓就会用一杯毒酒，结束了自己年轻的生命。				
		DIALOG	“不甘心呢不甘心，刚刚来到了新的世界，又要结束自己的生命，我他妈的怎么就这么倒霉？”刘辩摸着唐姬的秀发，在心里自言自语，满脸的不甘。				
		DIALOG	话说起来其实并不长，刘辩的前生是两千年后一家游戏公司的程序员，正在研发一款历史武将乱入三国的游戏，却不小心把手指头插进了电源插座里，睁开眼睛的时候就变成了现在的刘辩。				
		DIALOG	从睁开眼睛到现在，也不过只是一顿饭的功夫。但刘辩前生既然是三国游戏程序员，对三国的历史自然了如指掌，和唐姬短暂的对话之后就知道了自己的身份。穿越成皇帝，自己何其幸运？穿越成被废的汉少帝，自己又何其不幸？				
		DIALOG	唯一让刘辩觉得欣慰的是，还有一个美貌的妃子陪在身边，就算马上要死，自己也要在死前把处男的帽子摘掉。两世为人，死后还是一只童子鸡，自己都不好意思去见阎王！				
		DIALOG	“臣妾不怕死，就怕这些贼人会加害陛下……”唐姬把头埋在刘辩的怀里，抹着眼泪说道。这个十三岁的小男人对自己非常疼爱，虽然他现在落魄了，自己也不能弃他而去。				
		DIALOG	刘辩做了个噤声的动作：“嘘……不要乱说话，我现在已经不是皇帝了，我现在只是弘农王，万一被有心人听到了，抓住把柄大做文章，咱们就更加被动了。”				
		DIALOG	“是……臣妾该死，陛下……大王赎罪！”唐姬赶紧半跪在刘辩的身前赔罪。				
		DIALOG	“患难夫妻，何必这样。”刘辩把唐姬重新拉进了怀里，抱的紧紧的。谁知道哪会儿就要领便当了，能多享一会艳福就多享受一会吧。				
		DIALOG	低头悄悄打量怀里的唐姬，明眸皓齿，五官绝美，肤色如玉，青丝若瀑，虽然穿着一身粗布衣衫，但仍然能看得出身材婀娜优美，这样的女人真是舍不得呢！				
		DIALOG	“老子不甘心呢，老子不想死，我死了唐姬就要被别人睡了，她才十六岁呢……”刘辩在心底发出一声不甘心的呐喊，来到一个陌生的世界，唐姬也算自己的亲人了，想想又要阴阳相隔，心中更是难舍。				
		DIALOG	史书记载，初平元年，董卓派李儒至弘农献毒酒给弘农王刘辩，弘农王自知命将绝，乃与唐姬共饮最后一宴，于席间悲歌一曲：“天道易兮我何艰，弃万乘兮退守蕃。逆臣见迫兮命不延，逝将去汝兮适幽玄！”				
		DIALOG	一曲绝唱，令人潸然泪下；帝王之尊，贱如尘土，怎能不令人唏嘘？就连后世的文学大家鲁迅都称赞汉少帝的绝命诗为“汉宫之楚声”，堪与西楚霸王的垓下歌相媲美！				
		DIALOG	弘农王悲歌一曲，乃令唐姬起舞，唐姬举袖而歌，侍女无不落泪湿襟。歌毕，弘农王对唐姬说：“爱卿是本王的妃子，势将不复为吏民之妻。自己保重，从此长辞！”，遂喝毒酒而亡，时年十三岁。				
		DIALOG	回忆着史书里面描述的弘农王去世前的场景，再看看怀里美艳的唐姬，刘辩一万个不甘心，但却没有落泪。如果不甘心认命，那就与天斗与人斗，逆天改命，哭哭啼啼的不会换来奸贼的一丝心慈手软！				
		DIALOG	“我只是一个十三岁的少年，现在群臣皆离我而去，又如何与权势滔天的董贼争斗？”刘辩轻抚唐姬的秀发，在心中自言自语。				
		DIALOG	“叮咚……超级召唤系统正在认证宿主，请集中意念，不要胡思乱想。”				
		DIALOG	一瞬间，刘辩的脑海里响起一个声音，把他吓了一跳，“超级召唤系统？怎么回事？”				
		DIALOG	“叮咚……超级召唤系统认证完毕，绑定宿主刘辩成功，现在已经可以使用，赠送初始愉悦点75个，仇恨点75个。”				
		DIALOG	“我晕，这不是我正在研发的游戏程序嘛，怎么会植入了我的脑海里？”刘辩又惊又喜，惊的是游戏程序竟然被自己带入了现实世界，喜得是有了绝处逢生的机会。				
		DIALOG	刘辩前生是这个历史武将乱入三国大型游戏的主编，当然比任何人都要熟悉程序：所谓愉悦点，就是通过自己的言行让对方感到快乐愉悦，成功之后即可获得相对应的愉悦点。仇恨点也是如此，主角通过自己的语言行为让对方产生仇恨，成功之后也可以获得相对应的仇恨点。				
		DIALOG	至于成功一次，能够获得多少愉悦点或者仇恨点，就要看对方的身份或者能力。譬如刘辩让曹操产生了仇恨或者愉悦，那么根据曹操综合99的能力再除以10，四舍五入取整数，就可以获得10个仇恨点或者愉悦点。如果对方能力不高，但是职位显赫，也可以获得较高的奖励点。				
		DIALOG	当然，为了限制玩家升级速度，程序肯定有很多的限制：第一，任何人的仇恨或者愉悦点只能获得一次，且只能获得其中一项。第二，获得来源必须是综合能力70以上的人才，或者是相当于五品以上的官员。				
		DIALOG	想到这里，刘辩就一阵蛋疼，很不得给自己一个巴掌：“卧槽，傻/逼了吧？这就叫作茧自缚！”				
		DIALOG	当初要是没有这个限制多好，一个大赦天下，就会让千万百姓感恩戴德，获得数以万计的愉悦点，想要谁便呼之即来，分分钟钟的就可以让麾下武将如云，现在却只能可怜巴巴的慢慢升级了。				
		DIALOG	愉悦点和仇恨点获得之后，就可以用来召唤历史名将。愉悦点对应武力，仇恨点对应智谋或者统率。举个例子，假设刘辩手中有90个愉悦点，启动召唤程序之后，就可以在武力值90左右的历史武将中随机召唤一个来听候调遣；如果有90个仇恨点，就可以召唤一名智力或者统率在90左右的牛人来麾下效力。上下浮动数值都是在5个点之间。				
		DIALOG	“叮咚……你的游戏程序可以召唤任意历史名将，而我只能召唤还没有出世的人才，请宿主不要混淆。”				
		DIALOG	刘辩听了不禁皱眉，看来李广、白起、霍去病这些战神级的统帅与自己无缘了，虽然这个消息让人遗憾，但也不必太沮丧，毕竟还有岳飞、秦琼、冉闵、李存孝等牛人可以召唤，如果运气足够好，照样可以组成一个强大的阵容。				
		DIALOG	“但是有一点我不明白，召唤来的猛将能接受这个世界，接受我这个君主吗？”刘辩用意念询问系统精灵。				
		DIALOG	“记忆植入，知道吗？在这些名将现世之前，他们的记忆中会植入这个世界的信息，每个人都有自己的出生身世，就和出生在这个世界中的人没有两样，并且默认为你的部属。”				
		DIALOG	“这就好，放心了。”刘辩长舒一口气。				
		DIALOG	“但有一点必须提醒你注意，召唤来的猛将都有自己的思维，只是初始默认为你效忠。但随着与你的相处，他们的立场可能会发生改变，有可能会誓死效忠，也有可能倒戈背叛，这就看你自己的表现了。”				
		DIALOG	“卧槽！”刘辩顿时不淡定了，“我要是召唤了李元霸来，他那天不爽了，一锤把我砸死也行？我不成煞笔了吗？”				
		DIALOG	系统精灵机械的回答：“是的，一切都取决于你的表现。系统已经为你打开，成败由你决定！世界上没有立于不败之地的事情，你说的那是bug。”				
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
新手村_出生							
		MUSIC	音乐.室内_清新				
		BACKGROUND	地图.农舍内				
		DIALOG	主角#咦，这是哪里？				
		SUGGEST	点击人物头像，即可触发与人物交互。				
							
		GOTO	南贤屋内				
新手村_南贤开场							
		DIALOG	南贤#年轻人，你醒了。				
		DIALOG	主角#这里是哪里？				
		DIALOG	南贤#这里是金庸[[red:十四天书]]的世界。				
		DIALOG	主角#飞雪连天射白鹿，笑书神侠倚碧鸳？				
		DIALOG	南贤#正是！				
		DIALOG	主角#我穿越到这里来冒险了？				
		DIALOG	南贤#正是！而且，你还不是第一次来！				
		DIALOG	主角#我来过这里？				
		DIALOG	南贤#正是！当然，那是90年代的事情了，请参见当时DOS版的金庸群侠传。				
		DIALOG	主角#你可以不要每次都说“正是”么？还打个感叹号吵得我耳朵都要聋了。				
		DIALOG	南贤#...				
		DIALOG	主角#那我这次来这里是要干什么？				
		DIALOG	南贤#我也不知道。				
		DIALOG	主角#...				
		DIALOG	南贤#我只能告诉你，我感觉到有[[red:邪恶的气息]]在逼近，这个世界正在呼唤英雄。				
		DIALOG	主角#可是我什么武功都不会！				
		DIALOG	南贤#出去打打怪，练练级，很快的...				
		DIALOG	主角#......我一个人闯江湖搞不定啊！妈妈说江湖坏人太多了。				
		DIALOG	南贤#你可以[[yellow:招募小伙伴]]，这个江湖中有很多人愿意和你一起闯荡。				
		DIALOG	南贤#但是因为一些未知的原因，曾经在DOS版和你一起闯荡的小伙伴都不认识你了，你得一切从头来过。				
		DIALOG	主角#我忽然很想知道这游戏编剧的工资是谁发的。				
		DIALOG	南贤#......				
		DIALOG	南贤#好了，时间不早了，来，我带你到外头看看吧！				
		NICK	初出茅庐				
		LOG	再次来到金庸十四天书的世界。				
							
新手村_南贤							
		DIALOG	南贤#有什么事吗？				
	IF	daode > 1					
		SELECT	#[[yellow:【结束新手村】放我出村吧！]]	STORY	新手村_南贤_出村		
	END						
		SELECT	#【离开】没事了	GOTO	南贤屋内	        	
		SELECT	#【询问】这个世界有善恶之分吗？	STORY	新手村_南贤_善恶之分		
		SELECT	#【询问】我要如何募集队友？	STORY	新手村_南贤_募集队友		
		SELECT	#【询问】我上次来这个世界都做了什么？	STORY	新手村_南贤_DOS版		
		SELECT	#【询问】我需要在这个世界做什么？	STORY	新手村_南贤_目标		
		SELECT	#【挑战】我想跟你打一架	STORY	新手村_南贤_打一架		
							
mainStory_襄阳5							
		BACKGROUND	地图.沙漠				
		MUSIC	音乐.天龙八部11				
		DIALOG	主角#呼呼，杀不完的敌人，怎么办？！				
		DIALOG	南贤#擒贼先擒王！你看那边，那个人很可疑！				
		DIALOG	主角#那上啊！"				
							
	IF	daode > 1					
		DIALOG	南贤#我只能告诉你，我感觉到有[[red:邪恶的气息]]在逼近，这个世界正在呼唤英雄。				
		DIALOG	主角#可是我什么武功都不会！				
		DIALOG	南贤#出去打打怪，练练级，很快的...				
		DIALOG	主角#......我一个人闯江湖搞不定啊！妈妈说江湖坏人太多了。				
		DIALOG	南贤#你可以[[yellow:招募小伙伴]]，这个江湖中有很多人愿意和你一起闯荡。				
		DIALOG	南贤#但是因为一些未知的原因，曾经在DOS版和你一起闯荡的小伙伴都不认识你了，你得一切从头来过。				
		story	mainStory_最终决战1				
	ELSE						
		DIALOG	南贤#我只能告诉你，我感觉到有[[red:邪恶的气息]]在逼近，这个世界正在呼唤英雄。				
		DIALOG	主角#可是我什么武功都不会！				
		DIALOG	南贤#出去打打怪，练练级，很快的...				
		DIALOG	主角#......我一个人闯江湖搞不定啊！妈妈说江湖坏人太多了。				
		DIALOG	南贤#你可以[[yellow:招募小伙伴]]，这个江湖中有很多人愿意和你一起闯荡。				
		DIALOG	南贤#但是因为一些未知的原因，曾经在DOS版和你一起闯荡的小伙伴都不认识你了，你得一切从头来过。				
		story	mainStory_最终决战2				
	END						
							
							
新手村_南贤_出村							
		ITEM	青龙偃月刀	1			
		SETV	主角	POWER	10		
		ADDV	关羽	level	1		
